[2024-05-31 17:32:23,240: INFO: main: Welcome to my custom log.]
[2024-06-01 01:20:32,525: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
[2024-06-01 01:20:32,539: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 01:20:32,541: INFO: common: created directory at: artifacts]
[2024-06-01 01:21:09,118: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
[2024-06-01 01:21:09,119: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 01:21:09,121: INFO: common: created directory at: artifacts]
[2024-06-01 01:21:09,123: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-01 01:22:13,788: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
[2024-06-01 01:22:13,791: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 01:22:13,795: INFO: common: created directory at: artifacts]
[2024-06-01 01:22:13,797: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-01 01:23:52,811: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
[2024-06-01 01:23:52,814: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 01:23:52,817: INFO: common: created directory at: artifacts]
[2024-06-01 01:23:52,818: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-01 01:23:52,819: INFO: 1604836591: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 01:24:16,693: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
[2024-06-01 01:24:16,696: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 01:24:16,698: INFO: common: created directory at: artifacts]
[2024-06-01 01:24:16,701: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-01 01:24:16,703: INFO: 1507956761: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 01:26:13,673: INFO: 1507956761: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 01:27:54,495: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
[2024-06-01 01:27:54,498: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 01:27:54,501: INFO: common: created directory at: artifacts]
[2024-06-01 01:27:54,501: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-01 01:27:54,505: INFO: 3873169269: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 01:29:09,446: INFO: 3873169269: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 01:32:02,014: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
[2024-06-01 01:32:02,018: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 01:32:02,021: INFO: common: created directory at: artifacts]
[2024-06-01 01:32:02,024: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-01 01:32:02,027: INFO: 1507956761: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 01:33:22,741: INFO: 1507956761: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 01:36:13,211: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
[2024-06-01 01:36:13,215: INFO: common: yaml file: params.yaml loaded successfully]
[2024-06-01 01:36:13,217: INFO: common: created directory at: artifacts]
[2024-06-01 01:36:13,220: INFO: common: created directory at: artifacts/data_ingestion]
[2024-06-01 01:36:13,223: INFO: 3178557935: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 01:37:03,837: INFO: 3178557935: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-06-01 01:38:07,117: INFO: common: yaml file: C:\Users\Yash\ml_project2\Kidney_Disease_Classification\config\config.yaml loaded successfully]
